Variable	MIMIC-IV: safe transfer (n=9,239)	MIMIC-IV: no safe transfer (n=13,586)	p	eICU primary: safe transfer (n=5,640)	eICU primary: no safe transfer (n=7,744)	p
Age, years	65.1 ± 15.6	64.7 ± 16.5	0.095	66.1 ± 16.6	66.4 ± 16.0	0.264
Female	3702 (40.1)	5784 (42.6)	<0.001	2851 (50.5)	3736 (48.2)	0.009
Male	5537 (59.9)	7802 (57.4)	<0.001	2789 (49.5)	4008 (51.8)	0.009
Race: White	6509 (70.5)	8524 (62.7)	<0.001	4417 (78.3)	6082 (78.5)	0.773
Race: Black	741 (8.0)	1115 (8.2)	0.630	507 (9.0)	750 (9.7)	0.183
Race: Hispanic	325 (3.5)	414 (3.0)	0.053	239 (4.2)	276 (3.6)	0.051
Race: Asian	282 (3.1)	366 (2.7)	0.119	119 (2.1)	140 (1.8)	0.234
Race: Other	1382 (15.0)	3167 (23.3)	<0.001	358 (6.3)	496 (6.4)	0.922
Body mass index, kg/m2	29.3 ± 6.7	29.7 ± 8.2	0.012	29.0 ± 8.9	28.8 ± 9.1	0.241
Admission: emergency	6174 (66.8)	10864 (80.0)	<0.001	2832 (50.2)	3497 (45.2)	<0.001
Admission: elective	2173 (23.5)	1244 (9.2)	<0.001	29 (0.5)	39 (0.5)	1.000
Admission: other	892 (9.7)	1478 (10.9)	0.003	2779 (49.3)	4208 (54.3)	<0.001
CRRT	15 (0.2)	390 (2.9)	<0.001	6 (0.1)	112 (1.4)	<0.001
Invasive mechanical ventilation	4133 (44.7)	8802 (64.8)	<0.001	480 (8.5)	3045 (39.3)	<0.001
Norepinephrine	1340 (14.5)	4482 (33.0)	<0.001	727 (12.9)	1811 (23.4)	<0.001
Vasopressin	124 (1.3)	1458 (10.7)	<0.001	70 (1.2)	541 (7.0)	<0.001
Epinephrine	355 (3.8)	882 (6.5)	<0.001	28 (0.5)	157 (2.0)	<0.001
Charlson index = 0	514 (5.6)	647 (4.8)	0.008	2182 (38.7)	2128 (27.5)	<0.001
Charlson index = 1	583 (6.3)	778 (5.7)	0.072	332 (5.9)	406 (5.2)	0.116
Charlson index = 2	967 (10.5)	1012 (7.4)	<0.001	1584 (28.1)	2388 (30.8)	<0.001
Charlson index >= 3	7175 (77.7)	11149 (82.1)	<0.001	1329 (23.6)	2595 (33.5)	<0.001
Charlson index, missing	0 (0.0)	0 (0.0)	—	213 (3.8)	227 (2.9)	0.008
APS III / APACHE-IVa score	42.3 ± 16.9	56.0 ± 23.5	<0.001	60.2 ± 19.9	77.6 ± 27.2	<0.001
Glasgow Coma Scale	13.4 ± 2.9	13.1 ± 3.3	<0.001	13.4 ± 2.6	10.9 ± 4.0	<0.001
Urine output, mL/24 h	1964.8 ± 1190.2	1645.6 ± 1273.2	<0.001	1865.2 ± 1523.5	1382.2 ± 1264.3	<0.001
Heart rate, /min, min	70.2 ± 13.7	72.9 ± 16.5	<0.001	75.9 ± 15.5	79.7 ± 17.9	<0.001
Heart rate, /min, max	102.5 ± 18.7	109.0 ± 22.2	<0.001	107.4 ± 20.4	115.5 ± 23.5	<0.001
Systolic BP, mmHg, min	89.9 ± 14.1	86.5 ± 16.2	<0.001	89.9 ± 18.0	84.4 ± 19.0	<0.001
Systolic BP, mmHg, max	146.1 ± 20.8	148.3 ± 23.7	<0.001	140.0 ± 23.8	140.2 ± 25.3	0.729
Diastolic BP, mmHg, min	45.3 ± 9.6	44.1 ± 10.6	<0.001	46.3 ± 12.1	43.7 ± 13.0	<0.001
Diastolic BP, mmHg, max	85.9 ± 18.9	87.7 ± 20.3	<0.001	84.9 ± 20.1	85.9 ± 21.7	0.008
Mean BP, mmHg, min	58.3 ± 10.6	56.6 ± 12.3	<0.001	59.7 ± 13.9	56.1 ± 14.5	<0.001
Mean BP, mmHg, max	102.9 ± 20.7	105.2 ± 22.9	<0.001	99.1 ± 20.3	99.6 ± 22.0	0.188
Respiratory rate, /min, min	11.9 ± 3.4	12.9 ± 4.1	<0.001	14.2 ± 5.2	14.5 ± 5.9	0.002
Respiratory rate, /min, max	27.8 ± 6.2	29.1 ± 6.8	<0.001	29.5 ± 8.2	31.4 ± 8.8	<0.001
Temperature, C, min	36.3 ± 0.7	36.2 ± 0.9	0.144	36.4 ± 0.7	36.3 ± 1.0	<0.001
Temperature, C, max	37.5 ± 0.7	37.6 ± 0.9	<0.001	37.6 ± 0.8	37.6 ± 0.9	<0.001
SpO2, %, min	92.1 ± 4.6	91.0 ± 6.7	<0.001	91.3 ± 6.7	89.4 ± 8.9	<0.001
SpO2, %, max	99.6 ± 0.8	99.6 ± 1.1	<0.001	99.1 ± 1.6	99.3 ± 1.5	<0.001
BUN, mg/dL, min	22.6 ± 18.2	28.4 ± 23.0	<0.001	28.6 ± 21.3	35.4 ± 24.8	<0.001
BUN, mg/dL, max	27.3 ± 21.9	34.5 ± 26.7	<0.001	30.9 ± 23.5	38.8 ± 27.0	<0.001
Creatinine, mg/dL, min	1.2 ± 1.3	1.5 ± 1.4	<0.001	1.6 ± 1.6	1.9 ± 1.6	<0.001
Creatinine, mg/dL, max	1.5 ± 1.7	1.9 ± 1.8	<0.001	1.7 ± 1.7	2.1 ± 1.9	<0.001
WBC, K/uL, min	10.4 ± 6.1	11.5 ± 9.0	<0.001	13.9 ± 8.5	14.9 ± 10.0	<0.001
WBC, K/uL, max	14.9 ± 9.3	16.7 ± 14.1	<0.001	14.8 ± 9.0	16.4 ± 10.9	<0.001
Hemoglobin, g/dL, min	9.8 ± 2.0	9.8 ± 2.3	0.015	10.3 ± 2.0	10.1 ± 2.1	<0.001
Hemoglobin, g/dL, max	11.3 ± 2.0	11.5 ± 2.2	<0.001	10.6 ± 1.9	10.6 ± 2.1	0.404
Platelet, K/uL, min	172.0 ± 96.7	177.4 ± 106.4	<0.001	193.0 ± 101.5	187.1 ± 111.0	0.002
Platelet, K/uL, max	212.2 ± 109.5	225.0 ± 122.3	<0.001	199.5 ± 104.6	198.3 ± 114.3	0.573
Sodium, mmol/L, min	136.5 ± 4.8	136.5 ± 5.8	0.535	137.9 ± 5.5	137.6 ± 6.4	0.003
Sodium, mmol/L, max	139.6 ± 4.6	140.2 ± 5.8	<0.001	139.1 ± 5.5	139.4 ± 6.6	0.001
Potassium, mmol/L, min	3.9 ± 0.5	3.9 ± 0.6	0.001	3.9 ± 0.6	3.9 ± 0.7	0.261
Potassium, mmol/L, max	4.6 ± 0.8	4.7 ± 0.9	<0.001	4.1 ± 0.7	4.3 ± 0.8	<0.001
Chloride, mmol/L, min	102.7 ± 6.2	101.6 ± 7.1	<0.001	105.3 ± 6.7	104.5 ± 7.6	<0.001
Chloride, mmol/L, max	107.0 ± 6.0	106.2 ± 7.1	<0.001	106.6 ± 6.7	106.4 ± 7.8	0.193
Bicarbonate, mmol/L, min	21.7 ± 4.2	20.4 ± 5.3	<0.001	22.2 ± 4.9	20.9 ± 5.9	<0.001
Bicarbonate, mmol/L, max	24.3 ± 3.8	23.8 ± 4.7	<0.001	23.2 ± 4.5	22.6 ± 5.3	<0.001
Glucose, mg/dL, min	117.0 ± 36.6	121.2 ± 43.6	<0.001	114.8 ± 41.4	112.9 ± 43.6	0.012
Glucose, mg/dL, max	162.0 ± 101.5	184.8 ± 108.4	<0.001	173.5 ± 91.6	184.7 ± 99.3	<0.001
Calcium, mg/dL, min	8.0 ± 0.8	7.9 ± 0.9	<0.001	7.9 ± 0.8	7.7 ± 0.9	<0.001
Calcium, mg/dL, max	8.5 ± 0.8	8.6 ± 0.9	<0.001	8.1 ± 0.8	8.0 ± 0.9	<0.001
