bin,mean_pred,obs,n,cohort
0,0.021244338578677455,0.019064124783362217,577,internal
1,0.059594436333073424,0.04861111111111111,576,internal
2,0.11007232206019006,0.0763888888888889,576,internal
3,0.1794400661015435,0.1840277777777778,576,internal
4,0.26964757753395047,0.2690972222222222,576,internal
5,0.3698641824313166,0.3524305555555556,576,internal
6,0.4666586330512301,0.3993055555555556,576,internal
7,0.5588980592296964,0.5260416666666666,576,internal
8,0.6527768358987306,0.5954861111111112,576,internal
9,0.7807882107869396,0.7365684575389948,577,internal
0,0.0206798245287042,0.07692307692307693,1339,primary
1,0.05794122305894075,0.14872944693572496,1338,primary
2,0.10642056659771112,0.2787742899850523,1338,primary
3,0.16066934102281571,0.35399551904406273,1339,primary
4,0.21411842311995397,0.4260089686098655,1338,primary
5,0.27143242820133456,0.49177877428998507,1338,primary
6,0.3334543938968228,0.556385362210605,1339,primary
7,0.40462325270320004,0.5919282511210763,1338,primary
8,0.4895259032567696,0.6210762331838565,1338,primary
9,0.6346915035768986,0.6684092606422704,1339,primary
