Variable	Development (n=17,063)	Temporal internal test (MIMIC-IV) (n=5,762)	SMD: Temporal internal test	External: primary (eICU) (n=13,384)	SMD: External: primary	External: Sepsis-3 sensitivity (eICU) (n=2,409)	SMD: External: Sepsis-3 sensitivity
Primary outcome met	7391 (43.3)	1848 (32.1)	-0.234	5640 (42.1)	-0.024	870 (36.1)	-0.148
Age, years	65.0 ± 16.0	64.6 ± 16.7	-0.024	66.3 ± 16.3	0.081	66.1 ± 16.5	0.071
Male	9918 (58.1)	3421 (59.4)	0.025	6797 (50.8)	-0.148	1341 (55.7)	-0.05
Race: White	11767 (69.0)	3266 (56.7)	-0.256	10499 (78.4)	0.217	1871 (77.7)	0.198
Race: Black	1468 (8.6)	388 (6.7)	-0.07	1257 (9.4)	0.028	275 (11.4)	0.094
Race: Hispanic	578 (3.4)	161 (2.8)	-0.034	515 (3.8)	0.025	27 (1.1)	-0.153
Race: Asian	489 (2.9)	159 (2.8)	-0.006	259 (1.9)	-0.061	44 (1.8)	-0.069
Race: Other	2761 (16.2)	1788 (31.0)	0.355	854 (6.4)	-0.314	192 (8.0)	-0.254
Body mass index, kg/m2	29.5 ± 7.5	29.7 ± 8.2	0.033	28.9 ± 9.1	-0.067	29.0 ± 8.8	-0.057
Admission: emergency	12898 (75.6)	4140 (71.9)	-0.085	6329 (47.3)	-0.608	811 (33.7)	-0.928
Admission: elective	3019 (17.7)	398 (6.9)	-0.333	68 (0.5)	-0.626	57 (2.4)	-0.528
Admission: other	1146 (6.7)	1224 (21.2)	0.428	6987 (52.2)	1.151	1541 (64.0)	1.495
CRRT	221 (1.3)	184 (3.2)	0.128	118 (0.9)	-0.04	17 (0.7)	-0.059
Invasive mechanical ventilation	9957 (58.4)	2978 (51.7)	-0.134	3525 (26.3)	-0.685	861 (35.7)	-0.465
Norepinephrine	3953 (23.2)	1869 (32.4)	0.208	2538 (19.0)	-0.103	566 (23.5)	0.008
Vasopressin	967 (5.7)	615 (10.7)	0.184	611 (4.6)	-0.05	122 (5.1)	-0.027
Epinephrine	922 (5.4)	315 (5.5)	0.003	185 (1.4)	-0.223	78 (3.2)	-0.107
Charlson comorbidity index	5.1 ± 2.9	5.3 ± 3.1	0.049	2.0 ± 1.9	-1.249	2.2 ± 2.1	-1.168
APS III / APACHE-IVa score	49.5 ± 21.9	53.2 ± 22.7	0.167	70.2 ± 25.9	0.864	75.5 ± 26.9	1.059
Glasgow Coma Scale	13.2 ± 3.2	13.2 ± 3.2	-0.004	12.0 ± 3.7	-0.353	11.3 ± 3.8	-0.54
Urine output, mL/24 h	1833.9 ± 1246.7	1600.6 ± 1243.4	-0.187	1591.4 ± 1403.0	-0.183	1609.1 ± 1468.3	-0.165
Heart rate, /min, min	71.8 ± 15.2	72.1 ± 16.1	0.019	78.1 ± 17.1	0.391	77.0 ± 17.5	0.317
Heart rate, /min, max	105.8 ± 20.7	108.2 ± 22.2	0.112	112.1 ± 22.6	0.291	109.6 ± 22.5	0.178
