cohort,threshold,nb_model,nb_apsiii,nb_all,nb_none
internal,0.01,0.3140481524723107,0.31386408338855404,0.3138605773107682,0.0
internal,0.02,0.30761711140547854,0.3068981150252534,0.30685915463026586,0.0
internal,0.03,0.3009640123525265,0.2997885184482765,0.29971337271923765,0.0
internal,0.04,0.294725500404952,0.292642890200162,0.2924187203517297,0.0
internal,0.05,0.28937320740240047,0.28523538975867296,0.28497049635543215,0.0
internal,0.06,0.2836780964056511,0.27781429320493034,0.2773637995081495,0.0
internal,0.07,0.27738837694498253,0.27043514609995783,0.2695935177824307,0.0
internal,0.08,0.271508986915775,0.26298990386792026,0.26165431688876145,0.0
internal,0.09,0.26679724302077656,0.255560302245481,0.2535406280633632,0.0
internal,0.1,0.2612518801342127,0.24800416522040958,0.24524663504184502,0.0
internal,0.11,0.2562780557624732,0.24055512872013074,0.23676626015467475,0.0
internal,0.12,0.25115174655264905,0.23337067306175258,0.22809314947461423,0.0
internal,0.13,0.24706659166078188,0.22551636365087152,0.21922065693983966,0.0
internal,0.14,0.24218819369889327,0.2177982451183778,0.2101418273693727,0.0
internal,0.15,0.2371112971394736,0.20937378769626558,0.2008493782796006,0.0
internal,0.16,0.23223583081271387,0.2016165022065751,0.19133568040197682,0.0
internal,0.17,0.2257499278613935,0.19337119390439228,0.18159273679236207,0.0
internal,0.18,0.22072705107474538,0.18530574580303247,0.17161216041178112,0.0
internal,0.19,0.21521591011351512,0.17738610993267945,0.16138515004649448,0.0
internal,0.2,0.2096060395695939,0.16903852828878863,0.15090246442207567,0.0
internal,0.21,0.20420564237979955,0.16025773399707377,0.140154394351469,0.0
internal,0.22,0.20000623003052714,0.1522619460835358,0.12913073274059042,0.0
internal,0.23,0.1945640267403544,0.14595175737140328,0.117820742256702,0.0
internal,0.24,0.18933484353020696,0.13755275032426606,0.10621312044429015,0.0
internal,0.25,0.1849473562420456,0.13062594006710632,0.09429596205021407,0.0
internal,0.26,0.17955946227379754,0.12224077600682945,0.08205671829413586,0.0
internal,0.27,0.17434490497496585,0.11399913462315689,0.06948215279131575,0.0
internal,0.28,0.1710440047822901,0.10434262794554358,0.05655829380230626,0.0
internal,0.29,0.1653548503796119,0.09509364412787027,0.04327038244740916,0.0
internal,0.3,0.16050974364060097,0.08898200029751577,0.029602816482372174,0.0
internal,0.31,0.15470926459713566,0.08151859509328985,0.015539089185015231,0.0
internal,0.32,0.14927414909038936,0.07295261040896747,0.0010617228495007347,0.0
internal,0.33,0.14395913525050896,0.06470079315328942,-0.013847803675133608,0.0
internal,0.34,0.13941392403731867,0.05556256771112722,-0.029209134033847728,0.0
internal,0.35,0.13532961311510422,0.04599097535577917,-0.04504312071129152,0.0
internal,0.36,0.13072717806317247,0.03789916695591805,-0.0613719194724055,0.0
internal,0.37,0.12491253588094961,0.030467815958964833,-0.07821909279736422,0.0
internal,0.38,0.11854642765168903,0.024224339667006295,-0.09560972332635398,0.0
internal,0.39,0.11439846137213285,0.02011198297494604,-0.11357053846285159,0.0
internal,0.4,0.11003123915307182,0.01243781094527363,-0.1321300474372325,0.0
internal,0.41,0.10430111955006205,0.005335953264815063,-0.15131869230904993,0.0
internal,0.42,0.0995942500807909,0.0007360949861757449,-0.17116901459024053,0.0
internal,0.43,0.09589141197318185,-0.005264375795441367,-0.191715839407613,0.0
internal,0.44,0.09273813655972626,-0.011900629741657176,-0.21299647939703475,0.0
internal,0.45,0.08833738285317597,-0.014120728282477651,-0.2350509608406171,0.0
internal,0.46,0.0849756386028514,-0.01885919241004283,-0.25792227493025827,0.0
internal,0.47,0.0795910749019274,-0.024418277196728067,-0.2816566574761122,0.0
internal,0.48,0.07690972685766162,-0.027821536325528,-0.30630390088911436,0.0
internal,0.49,0.07340860676099667,-0.033563373284058506,-0.3319177028673322,0.0
internal,0.5,0.07028809441166262,-0.036619229434224215,-0.3585560569246789,0.0
internal,0.51,0.06815235639552593,-0.040596731577045936,-0.38628169073946833,0.0
internal,0.52,0.06349068610436191,-0.035404373481430065,-0.4151625592965406,0.0
internal,0.53,0.06046585479332675,-0.03386457125554812,-0.4452724009837011,0.0
internal,0.54,0.055657003154098036,-0.03810573019633884,-0.47669136622247715,0.0
internal,0.55,0.054379266458405615,-0.03713988198542177,-0.5095067299163101,0.0
internal,0.56,0.05275945852134674,-0.040027137042062455,-0.5438137010507715,0.0
internal,0.57,0.04910681853038752,-0.0430002502361099,-0.5797163452612548,0.0
internal,0.58,0.042710037850614,-0.03642914993140613,-0.6173286391960466,0.0
internal,0.59,0.038189652982958164,-0.035188493155323755,-0.6567756791764374,0.0
internal,0.6,0.0352308226310309,-0.03323498785144046,-0.6981950711558484,0.0
internal,0.61,0.03046484927776147,-0.030709600477042333,-0.741738534518819,0.0
internal,0.62,0.025055262244469217,-0.027649390745172545,-0.7875737591114196,0.0
internal,0.63,0.026529827293451033,-0.01911404636152987,-0.8358865634117281,0.0
internal,0.64,0.024046434494195676,-0.01660303135485364,-0.8868834123953873,0.0
internal,0.65,0.01814846035602717,-0.016512123766549317,-0.9407943670352557,0.0
internal,0.66,0.017589889131633202,-0.015548114421054788,-0.9978765543009984,0.0
internal,0.67,0.017770555257538928,-0.012285296561589519,-1.0584182680676955,0.0
internal,0.68,0.016357167650121476,-0.009610378340853874,-1.122743838944811,0.0
internal,0.69,0.014371130095956808,-0.006768483165567516,-1.1912194466527082,0.0
internal,0.7,0.010760152724748326,-0.00410737012611362,-1.2642600948744651,0.0
internal,0.71,0.010993548695974784,-0.0017414930160744016,-1.3423380291804816,0.0
internal,0.72,0.012198145485198597,-0.001363613824564883,-1.4259929587940692,0.0
internal,0.73,0.008362579865530233,-0.0004178076028128092,-1.5158445498605162,0.0
internal,0.74,0.006634982511414311,0.0003471017007983339,-1.6126078017782284,0.0
internal,0.75,0.0036445678583825053,0.00017355085039916696,-1.717112113849358,0.0
internal,0.76,0.0040205947009140305,0.0,-1.8303251185930811,0.0
internal,0.77,0.002920181700194681,0.0,-1.9533827324449542,0.0
internal,0.78,0.00020510555047173473,0.0,-2.0876274021015435,0.0
internal,0.79,-0.001090891059651912,0.0,-2.2346572783920933,0.0
internal,0.8,-0.0008677542519958427,0.0,-2.396390142311698,0.0
internal,0.81,-0.0010687078682475107,0.0,-2.57514751822284,0.0
internal,0.82,0.0001928342782212926,0.0,-2.773766824790776,0.0
internal,0.83,0.0016027931478040658,0.0,-2.995753108601998,0.0
internal,0.84,0.0008677542519958253,0.0,-3.2454876778896242,0.0
internal,0.85,0.0012148559527941707,0.0,-3.5285201897489293,0.0
internal,0.86,0.0008181682947389288,0.0,-3.8519859175881384,0.0
internal,0.87,0.0008410541211651941,0.0,-4.225215603556457,0.0
internal,0.88,0.0006363531181302782,0.0,-4.660650237186162,0.0
internal,0.89,0.002051055504717428,0.0,-5.175254804203086,0.0
internal,0.9,0.0015619576535925025,0.0,-5.792780284623396,0.0
internal,0.91,0.0019090593543908366,0.0,-6.547533649581551,0.0
internal,0.92,0.0013884068031933356,0.0,-7.490975355779248,0.0
internal,0.93,0.0008677542519958348,0.0,-8.703971835176285,0.0
internal,0.94,0.0,0.0,-10.321300474372334,0.0
internal,0.95,0.0,0.0,-12.585560569246809,0.0
internal,0.96,0.0,0.0,-15.981950711558516,0.0
internal,0.97,0.0,0.0,-21.64260094874463,0.0
internal,0.98,0.0,0.0,-32.963901423116944,0.0
internal,0.99,0.0,0.0,-66.92780284623387,0.0
primary,0.01,0.4151723450886631,0.4155663025955913,0.4155542272697084,0.0
primary,0.02,0.40830202373836566,0.4097124803298486,0.4095904948949095,0.0
primary,0.03,0.40067768253831315,0.4035091908479736,0.40350379896599103,0.0
primary,0.04,0.3929349721059972,0.3974490685395497,0.39729029687188677,0.0
primary,0.05,0.38631358731556925,0.39123698367257054,0.39094598420738036,0.0
primary,0.06,0.37871990690694507,0.38459386247154426,0.38446668616703333,0.0
primary,0.07,0.37189647083020005,0.3772454993604947,0.37784804838388314,0.0
primary,0.08,0.36410119805608254,0.3705202837911588,0.3710855271706645,0.0
primary,0.09,0.35611735843355685,0.36256182550265037,0.36417437911759487,0.0
primary,0.1,0.34849239556352524,0.3543036461446504,0.35710964999667927,0.0
primary,0.11,0.3403308998838123,0.3474599891199957,0.34988616291799024,0.0
primary,0.12,0.33189221866000107,0.33979514209639733,0.342498505678422,0.0
primary,0.13,0.3232595447643781,0.33248655110579795,0.33494101723794406,0.0
primary,0.14,0.31469196124494364,0.3242816830926202,0.32720777325233874,0.0
primary,0.15,0.3064501951408178,0.31685331036180164,0.31929257058471916,0.0
primary,0.16,0.29753365781459024,0.30873039592406004,0.31118891071072774,0.0
primary,0.17,0.28954370980635036,0.3001425906855155,0.30288998192411,0.0
primary,0.18,0.2811511378712114,0.2912997681979211,0.2943886402402577,0.0
primary,0.19,0.2719019577457513,0.28198862839727556,0.28567738888519917,0.0
primary,0.2,0.2626270173341303,0.27220935445307826,0.27674835624626415,0.0
primary,0.21,0.25504759130494,0.262765100214123,0.26759327214811557,0.0
primary,0.22,0.24567796220515886,0.25539488405597194,0.25820344230386066,0.0
primary,0.23,0.23774656306037056,0.24339684523486077,0.24856972077533937,0.0
primary,0.24,0.22849749897756944,0.23487196023531634,0.2386824802592254,0.0
primary,0.25,0.22091053994819687,0.22347579199043638,0.2285315799960151,0.0
primary,0.26,0.21278331529377553,0.2125389735222371,0.2181063310770423,0.0
primary,0.27,0.20523688067535145,0.20487251185222183,0.20739545890001548,0.0
primary,0.28,0.19573952314538084,0.19644932589493258,0.196387062495849,0.0
primary,0.29,0.1858388826683953,0.18275447665069916,0.18506857041832575,0.0
primary,0.3,0.17684228503116728,0.17367218854068822,0.1734266928528733,0.0
primary,0.31,0.16900343910531285,0.15816960766478683,0.16144736956088596,0.0
primary,0.32,0.16010776695615486,0.14857951548820364,0.14911571323089895,0.0
primary,0.33,0.15230705408998046,0.14006699913463166,0.13641594775673327,0.0
primary,0.34,0.14437184154757374,0.13143011103262148,0.12333134090456255,0.0
primary,0.35,0.13528782932548622,0.11922387236194766,0.10984413076463273,0.0
primary,0.36,0.12859104154213985,0.1095757994620442,0.0959354453078301,0.0
primary,0.37,0.1217326540100001,0.10090465753944533,0.08158521428097032,0.0
primary,0.38,0.11509891444767946,0.09272265391512255,0.06677207257582468,0.0
