hospitalid,n,events,event_rate,auc,se,cal_intercept
408,29,8,0.27586206896551724,0.4345238095238096,0.11841093317752674,-1.0702927269212454
95,44,22,0.5,0.506198347107438,0.08801418222930057,0.18883748437948925
249,30,17,0.5666666666666667,0.5248868778280543,0.10772461710952702,0.2582280146647875
250,29,7,0.2413793103448276,0.525974025974026,0.1283029493040155,-1.1124729300604763
224,25,16,0.64,0.5416666666666667,0.12123420906548385,1.0337398979557209
301,35,18,0.5142857142857142,0.5424836601307189,0.09850629562455815,0.45697133891427105
331,117,60,0.5128205128205128,0.55,0.053249316666281375,0.1562342627327705
110,110,50,0.45454545454545453,0.5516666666666667,0.05533817193680286,0.06528675104857005
402,51,26,0.5098039215686274,0.5615384615384615,0.08083589236094031,0.23996747313773364
245,40,20,0.5,0.57,0.09132562933642353,0.530210524072346
358,56,32,0.5714285714285714,0.5768229166666666,0.07695292333682946,0.7226341426167074
452,53,24,0.4528301886792453,0.5818965517241379,0.07950051812317419,0.3989783466391001
407,68,17,0.25,0.6020761245674741,0.08202016071989635,-0.9093876446372375
259,57,29,0.5087719298245614,0.603448275862069,0.07504883424479876,0.5538998177632464
67,27,12,0.4444444444444444,0.6055555555555555,0.11163716291089497,0.6386860657726025
279,84,40,0.47619047619047616,0.6079545454545454,0.06184324447092435,0.5063937836986196
404,55,25,0.45454545454545453,0.6146666666666667,0.07687864618327447,0.11497544326150806
357,49,31,0.6326530612244898,0.6218637992831542,0.08146870819580383,1.163554318463505
353,106,47,0.44339622641509435,0.6256761630003607,0.05502720771250651,0.4218473264139675
365,183,87,0.47540983606557374,0.6278735632183908,0.04129782589741562,0.5358275597092211
310,86,45,0.5232558139534884,0.6298102981029811,0.05984894693142332,0.34419355366596244
180,31,10,0.3225806451612903,0.6333333333333333,0.11113828706825336,-0.21583976251370074
436,39,17,0.4358974358974359,0.6363636363636364,0.09116799948862671,-0.04875361072906771
92,60,31,0.5166666666666667,0.639599555061179,0.07137882915779795,0.6439867714703689
399,40,14,0.35,0.6401098901098901,0.09479115670266446,-0.42907677251300946
398,45,17,0.37777777777777777,0.6407563025210083,0.08733606618648711,0.2535169115641399
403,75,32,0.4266666666666667,0.653343023255814,0.06488372995608595,0.43239169039117714
215,50,16,0.32,0.6544117647058822,0.08627845230143304,0.13609486333349471
244,111,49,0.44144144144144143,0.6579986833443054,0.05266320420689998,0.3582426637478705
424,29,13,0.4482758620689655,0.6634615384615384,0.10363003585957949,0.2711611574908831
421,41,17,0.4146341463414634,0.678921568627451,0.08706979009879463,0.5786861037499405
391,136,49,0.3602941176470588,0.6798029556650246,0.0492197226404201,-0.11995310077869423
63,42,16,0.38095238095238093,0.6802884615384616,0.08783260097960442,0.41729792164592505
108,35,22,0.6285714285714286,0.6818181818181819,0.09106995423244156,1.3266584145533897
440,46,21,0.45652173913043476,0.6819047619047618,0.0801723238837408,0.5497958142935664
445,30,16,0.5333333333333333,0.6830357142857143,0.09774934558669147,0.8647964342317109
338,324,152,0.4691358024691358,0.6856640146878825,0.029654227263153136,0.5113750863210234
386,75,26,0.3466666666666667,0.6860282574568289,0.06694080056986912,0.1831368596491724
141,77,41,0.5324675324675324,0.690379403794038,0.05987085643538279,0.831547753012293
197,73,32,0.4383561643835616,0.6905487804878049,0.06338214950194755,0.5717393887357239
397,42,14,0.3333333333333333,0.6913265306122449,0.09067181427487112,0.12532458663626425
283,216,92,0.42592592592592593,0.6953892005610098,0.03674025349531116,0.868396654602604
364,37,19,0.5135135135135135,0.6988304093567251,0.08650368520508453,0.9589082256184696
199,255,83,0.3254901960784314,0.7029279910339031,0.03635667098488191,0.003540850427943894
272,109,40,0.3669724770642202,0.7047101449275363,0.05352725258984149,0.3988750529985933
269,112,57,0.5089285714285714,0.7065390749601276,0.04883725449773546,1.0884090386453396
171,115,60,0.5217391304347826,0.709090909090909,0.047896727851557,0.6543811329786989
281,212,104,0.49056603773584906,0.7102920227920227,0.03544472519584327,1.0693540350703472
388,129,37,0.2868217054263566,0.7118096357226793,0.05315989917298726,-0.218603970840949
59,31,22,0.7096774193548387,0.7121212121212122,0.09664731866760541,1.8289917547863048
382,62,22,0.3548387096774194,0.7181818181818181,0.07100139177584408,0.016278716565018888
243,186,66,0.3548387096774194,0.7193181818181817,0.04071642442619886,0.22754342450903325
444,47,26,0.5531914893617021,0.7197802197802198,0.07404736832503858,0.9835961617813035
280,127,46,0.36220472440944884,0.7198067632850241,0.04898634256845927,0.5041259958015736
79,158,82,0.5189873417721519,0.7198331193838254,0.04027244157225333,1.3246633127984349
275,54,23,0.42592592592592593,0.729312762973352,0.07125726483140438,1.1348145954827238
390,131,43,0.3282442748091603,0.730708245243129,0.0492490300257287,0.19445100408407368
416,128,36,0.28125,0.731280193236715,0.05272364658147313,-0.015419963714313227
271,88,42,0.4772727272727273,0.7349896480331264,0.0537463906821471,1.077652029443475
387,51,20,0.39215686274509803,0.7354838709677419,0.07450049816709955,0.32336351208286435
71,31,20,0.6451612903225806,0.7363636363636363,0.09012519747170503,1.6241301435460491
411,132,61,0.4621212121212121,0.7372431309166474,0.04395273359576892,0.6262850520736717
300,281,131,0.46619217081850534,0.7383715012722647,0.02995063483576492,0.5664837198874795
220,41,26,0.6341463414634146,0.7384615384615385,0.07750447291698101,1.6177816643384664
252,297,99,0.3333333333333333,0.7393633302724212,0.032128808770803007,0.5740863460577698
195,28,12,0.42857142857142855,0.7395833333333333,0.09838760196747345,0.5766559497725103
154,126,49,0.3888888888888889,0.739729658097005,0.04696647360338282,0.5001490864602544
429,32,13,0.40625,0.7408906882591093,0.09300709803126131,0.0845418746217294
142,116,51,0.4396551724137931,0.7414781297134239,0.04719563172020614,0.7342083463481859
226,71,31,0.43661971830985913,0.7427419354838709,0.060508452654633234,0.5968319032567408
389,52,26,0.5,0.7440828402366864,0.06871073847695372,1.0181134981941584
73,400,162,0.405,0.7450980392156862,0.025777681200497518,0.5817997297677857
165,141,52,0.36879432624113473,0.7454624027657736,0.04479038524365843,0.4646354467677197
66,94,47,0.5,0.7473970122227253,0.05059494080882088,1.0796263179052155
277,191,71,0.3717277486910995,0.7474178403755868,0.03824586137471417,0.9734026272937356
204,27,11,0.4074074074074074,0.75,0.10022296571715916,0.7181217420651397
443,127,46,0.36220472440944884,0.7506709608158884,0.0471642299670458,0.34446179981556546
69,40,24,0.6,0.7552083333333334,0.075934729314788,1.8056842603864647
200,58,29,0.5,0.7574316290130796,0.06363143634407556,0.9565756347198132
264,227,86,0.3788546255506608,0.760432129308923,0.03421050180807269,0.19149795092347613
188,221,104,0.47058823529411764,0.761094674556213,0.03257117142876975,0.7910277222339033
318,82,35,0.4268292682926829,0.7653495440729483,0.05469782067088951,1.1279448722076026
144,33,15,0.45454545454545453,0.7666666666666666,0.08547102966015402,0.7009944841587716
307,159,67,0.42138364779874216,0.7670343932511356,0.03918721701242295,0.9154355574180453
268,78,29,0.3717948717948718,0.7670654468684025,0.05840246869633113,0.6388352303941094
392,88,23,0.26136363636363635,0.7705685618729096,0.06243071604667319,-0.3605531233745137
384,121,60,0.49586776859504134,0.7707650273224044,0.04289747073721172,1.0143446992192873
449,119,53,0.44537815126050423,0.7715837621497998,0.044315842270869786,1.0627166869630513
167,242,92,0.38016528925619836,0.7721739130434783,0.03249041185488793,0.5011593994394525
202,69,26,0.37681159420289856,0.7754919499105546,0.06104342874409096,0.6274989186428231
405,52,24,0.46153846153846156,0.7782738095238095,0.06605389669518924,1.054221313035186
184,75,26,0.3466666666666667,0.7786499215070644,0.059925290566493046,0.320719944031812
208,191,85,0.44502617801047123,0.7817980022197558,0.03429401710590604,0.9420108293360219
419,33,19,0.5757575757575758,0.7819548872180451,0.07976809784531971,1.5837136249004558
400,231,82,0.354978354978355,0.7821247339990178,0.03349563182544371,0.8540478514047501
227,83,48,0.5783132530120482,0.7827380952380952,0.049613525239039925,1.4111648747742265
181,82,36,0.43902439024390244,0.78743961352657,0.052200879567773605,0.8602007045768166
360,44,26,0.5909090909090909,0.7884615384615384,0.06769825437318062,1.2895626332070487
336,103,44,0.42718446601941745,0.7885208012326657,0.04678641890515483,0.9522547850943878
394,189,89,0.4708994708994709,0.7885393258426965,0.033530188960986404,0.9230905205287008
282,65,29,0.4461538461538462,0.7911877394636015,0.058052813448024834,1.0731508248027712
217,101,27,0.26732673267326734,0.7967967967967968,0.05531914841739831,0.047371220833874114
148,158,52,0.3291139240506329,0.7973512336719885,0.04057990859614224,0.3088688202715533
176,205,86,0.4195121951219512,0.7981239007230799,0.03263618142335955,0.8304086118046045
345,216,97,0.44907407407407407,0.8001386121458892,0.031016540417359437,0.8297541504433752
157,201,71,0.35323383084577115,0.8009750812567715,0.03476839205760877,0.8136352462017012
146,49,28,0.5714285714285714,0.8010204081632653,0.06242477117349969,1.7251882399951637
435,84,39,0.4642857142857143,0.8045584045584044,0.04902957715386883,1.0417106742119744
434,46,18,0.391304347826087,0.8055555555555556,0.07010444664457983,0.7539342076933615
248,157,68,0.43312101910828027,0.8075016523463318,0.03623859180362171,1.480224414222796
417,145,64,0.4413793103448276,0.8090277777777778,0.0373787958538823,1.3801766413569463
122,265,95,0.3584905660377358,0.8097213622291022,0.0295681850940699,0.6983914087273778
143,39,23,0.5897435897435898,0.8097826086956522,0.06855366805658547,1.5839046395103449
396,82,22,0.2682926829268293,0.8098484848484848,0.05990018250191924,0.31839066209413325
312,41,19,0.4634146341463415,0.8133971291866029,0.06936383014534815,1.3752710382949362
458,126,43,0.3412698412698413,0.8178761557859344,0.04302937761561029,0.6373617721867345
381,40,18,0.45,0.8232323232323233,0.06921197821059415,1.3488272795274703
