variable,MIMIC-IV landmark,eICU primary,eICU Sepsis-3 sensitivity
bmi,36.1,2.4,1.2
urine_output,2.1,29.0,18.7
gcs_score,0.0,23.7,6.8
spo2_min,0.1,20.9,5.9
spo2_max,0.0,20.5,5.1
bicarbonate_max,0.1,10.8,16.9
bicarbonate_min,0.1,10.8,16.9
mbp_min,1.0,12.2,4.3
mbp_max,0.9,12.2,4.2
apsiii,0.0,12.1,7.4
calcium_min,9.6,5.6,6.1
calcium_max,9.6,5.6,6.1
respiratory_rate_min,0.1,9.1,5.7
sbp_max,0.1,9.1,4.0
respiratory_rate_max,0.1,9.1,5.7
dbp_max,0.0,9.1,4.0
sbp_min,0.1,9.1,4.0
dbp_min,0.0,9.1,4.0
heart_rate_max,0.0,7.7,3.3
heart_rate_min,0.0,7.7,3.3
platelet_min,0.2,6.7,3.7
platelet_max,0.2,6.7,3.7
wbc_min,0.2,6.1,4.2
wbc_max,0.2,6.1,4.2
hemoglobin_max,0.2,5.8,3.2
hemoglobin_min,0.2,5.8,3.2
temperature_min,4.5,3.6,1.0
temperature_max,4.5,3.6,1.0
chloride_max,0.1,4.4,1.8
chloride_min,0.1,4.4,1.9
bun_min,0.1,4.1,1.9
bun_max,0.1,4.1,1.9
creatinine_min,0.1,4.0,1.8
potassium_max,0.2,4.0,1.7
creatinine_max,0.1,4.0,1.8
potassium_min,0.2,4.0,1.7
sodium_max,0.2,3.9,1.7
sodium_min,0.2,3.9,1.7
cci,0.0,3.3,1.0
glucose_max,0.6,2.3,0.9
glucose_min,0.6,2.3,0.9
