n_features,dev_cv_auc
56,0.8117561664595765
55,0.8119816239745229
54,0.8117735825175344
53,0.8118565500996617
52,0.8118631807916072
51,0.8122313240825948
50,0.8123819834755323
49,0.8125895772908706
48,0.8124063939342766
47,0.8131929702579054
46,0.8129824248054354
45,0.8120054888700058
44,0.8124688539332985
43,0.8115926233803905
42,0.8121462861578346
41,0.8122018356888796
40,0.8124881165130641
39,0.8114698296801858
38,0.8116141801236141
37,0.8114228552845049
36,0.8105677058555669
35,0.8105684892284549
34,0.8112957810110188
33,0.8101227780327469
32,0.8103745484834516
31,0.8101850281997454
30,0.8103415489005418
29,0.8088146292424816
28,0.8080488123003867
27,0.8083508165375387
26,0.8075734028789401
25,0.8076894399879854
24,0.8066553877757348
23,0.8066500580423355
22,0.8058827582872737
21,0.8057908098945368
20,0.8042491040732144
19,0.8037587686004899
18,0.8012984741350976
17,0.801090208857284
16,0.7997404293935384
15,0.7970420874917844
14,0.7952973621932381
13,0.7927847775875674
12,0.7913994665678273
11,0.7912004478878532
10,0.7855807336264715
9,0.782531132917228
8,0.7772959568222769
7,0.7748887078924482
6,0.7684363312006566
5,0.760049233307359
4,0.7515388870778054
3,0.7411534189358462
2,0.7161118763918158
1,0.6784358231273835
