cohort,subgroup,n,events,auc,auc_ci,cal_slope,cal_intercept,fpr,fnr
internal_test,ALL,5762,1848,0.809,0.798-0.820,0.971,-0.17,0.277,0.267
internal_test,MechVent=yes,2978,589,0.844,0.826-0.861,1.051,-0.051,0.093,0.472
internal_test,MechVent=no,2784,1259,0.712,0.694-0.731,0.908,-0.193,0.564,0.172
internal_test,age<65,2620,816,0.835,0.819-0.850,1.027,-0.098,0.225,0.27
internal_test,age65-79,2015,657,0.799,0.779-0.819,0.948,-0.26,0.315,0.245
internal_test,age>=80,1127,375,0.762,0.735-0.789,0.881,-0.162,0.332,0.301
internal_test,male,3421,1094,0.817,0.802-0.831,0.995,-0.172,0.267,0.262
internal_test,female,2341,754,0.797,0.779-0.814,0.934,-0.17,0.291,0.275
internal_test,race_white,3266,1170,0.794,0.778-0.808,0.947,-0.166,0.333,0.24
internal_test,race_black,388,144,0.771,0.726-0.814,0.835,0.08,0.275,0.347
internal_test,race_hispanic,161,57,0.792,0.718-0.859,0.786,0.033,0.173,0.333
internal_test,race_asian,159,56,0.82,0.748-0.885,1.025,-0.181,0.291,0.214
internal_test,CCI0-1,669,213,0.821,0.788-0.852,0.941,-0.207,0.25,0.249
internal_test,CCI2,469,185,0.867,0.834-0.897,1.117,0.059,0.222,0.178
internal_test,CCI>=3,4624,1450,0.799,0.785-0.812,0.954,-0.192,0.285,0.281
primary,ALL,13384,5640,0.726,0.718-0.734,0.741,0.585,0.164,0.605
primary,MechVent=yes,3525,480,0.655,0.630-0.679,0.458,-0.697,0.022,0.94
primary,MechVent=no,9859,5160,0.643,0.632-0.654,0.585,0.589,0.256,0.574
primary,age<65,5588,2385,0.748,0.736-0.761,0.804,0.579,0.188,0.522
primary,age65-79,4597,1869,0.714,0.699-0.729,0.709,0.527,0.159,0.642
primary,age>=80,3199,1386,0.704,0.686-0.722,0.695,0.668,0.131,0.701
primary,male,6797,2789,0.725,0.713-0.738,0.733,0.529,0.164,0.608
primary,female,6587,2851,0.727,0.715-0.738,0.748,0.641,0.164,0.603
primary,race_white,10499,4417,0.721,0.712-0.731,0.732,0.556,0.168,0.606
primary,race_black,1257,507,0.734,0.707-0.760,0.756,0.566,0.163,0.617
primary,race_hispanic,515,239,0.762,0.719-0.805,0.871,0.871,0.152,0.556
primary,race_asian,259,119,0.758,0.698-0.816,0.801,0.635,0.214,0.395
primary,CCI0-1,5048,2514,0.704,0.689-0.718,0.675,0.695,0.223,0.545
primary,CCI2,3972,1584,0.734,0.718-0.750,0.782,0.582,0.152,0.628
primary,CCI>=3,3924,1329,0.722,0.707-0.738,0.715,0.339,0.118,0.696
