cohort,model,n,events,threshold,TP,FP,FN,TN,sens,sens_ci,spec,spec_ci,ppv,ppv_ci,npv,npv_ci
Internal test (MIMIC-IV),LightGBM (primary),5762,1848,0.396,1354,1083,494,2831,0.733,0.712-0.753,0.723,0.710-0.737,0.556,0.537-0.574,0.851,0.838-0.864
Internal test (MIMIC-IV),Random Forest,5762,1848,0.423,1333,1093,515,2821,0.721,0.700-0.741,0.721,0.707-0.735,0.549,0.530-0.567,0.846,0.833-0.858
Internal test (MIMIC-IV),XGBoost,5762,1848,0.401,1333,1038,515,2876,0.721,0.699-0.741,0.735,0.722-0.747,0.562,0.543-0.580,0.848,0.835-0.860
Internal test (MIMIC-IV),APS III alone,5762,1848,0.466,1026,1332,822,2582,0.555,0.533-0.578,0.66,0.645-0.675,0.435,0.414-0.456,0.759,0.744-0.772
External: primary (eICU),LightGBM (primary),13384,5640,0.396,2225,1272,3415,6472,0.395,0.381-0.407,0.836,0.828-0.844,0.636,0.620-0.651,0.655,0.645-0.664
External: primary (eICU),Random Forest,13384,5640,0.423,3534,2217,2106,5527,0.627,0.614-0.639,0.714,0.704-0.724,0.615,0.601-0.627,0.724,0.714-0.733
External: primary (eICU),XGBoost,13384,5640,0.401,1742,848,3898,6896,0.309,0.296-0.320,0.89,0.883-0.898,0.673,0.654-0.689,0.639,0.630-0.648
External: primary (eICU),APS III alone,13384,5640,0.466,1139,636,4501,7108,0.202,0.192-0.212,0.918,0.912-0.924,0.642,0.618-0.664,0.612,0.604-0.621
External: Sepsis-3 sensitivity (eICU),LightGBM (primary),2409,870,0.396,303,230,567,1309,0.348,0.315-0.381,0.851,0.833-0.869,0.568,0.522-0.613,0.698,0.675-0.719
External: Sepsis-3 sensitivity (eICU),Random Forest,2409,870,0.423,465,363,405,1176,0.534,0.499-0.568,0.764,0.744-0.785,0.562,0.529-0.596,0.744,0.721-0.766
External: Sepsis-3 sensitivity (eICU),XGBoost,2409,870,0.401,253,170,617,1369,0.291,0.259-0.320,0.89,0.874-0.905,0.598,0.552-0.646,0.689,0.668-0.708
External: Sepsis-3 sensitivity (eICU),APS III alone,2409,870,0.466,134,96,736,1443,0.154,0.130-0.178,0.938,0.925-0.950,0.583,0.520-0.643,0.662,0.642-0.681
